
Method=> GET || Time => 1779358818749 ||  Url => /
Method=> GET || Time => 1779358819008 ||  Url => /favicon.ico
Method=> GET || Time => 1779358847175 ||  Url => /
Method=> GET || Time => 1779361011645 ||  Url => /
Method=> POST || Time => 1779363298205 ||  Url => /api/auth/signup
Method=> POST || Time => 1779379762178 ||  Url => /api/auth/signup
Method=> GET || Time => 1779379783773 ||  Url => /
Method=> GET || Time => 1779379784049 ||  Url => /favicon.ico
Method=> POST || Time => 1779379838628 ||  Url => /api/auth/signup
Method=> POST || Time => 1779379958748 ||  Url => /api/auth/signup
Method=> POST || Time => 1779380014992 ||  Url => /api/auth/signup
Method=> POST || Time => 1779380065102 ||  Url => /api/auth/signup
Method=> POST || Time => 1779380075147 ||  Url => /
Method=> GET || Time => 1779380086498 ||  Url => /
Method=> POST || Time => 1779380136383 ||  Url => /api/auth/signup
Method=> POST || Time => 1779380306823 ||  Url => /api/auth/signup
Method=> POST || Time => 1779380338223 ||  Url => /api/auth/signup
Method=> POST || Time => 1779380407479 ||  Url => /api/auth/login
Method=> POST || Time => 1779380505833 ||  Url => /api/auth/login
Method=> POST || Time => 1779380598620 ||  Url => /api/auth/login
Method=> POST || Time => 1779380615939 ||  Url => /api/auth/login
Method=> POST || Time => 1779380735517 ||  Url => /api/auth/login
Method=> GET || Time => 1779430206140 ||  Url => /api/issues
Method=> GET || Time => 1779430248596 ||  Url => /api/issues
Method=> GET || Time => 1779430349190 ||  Url => /api/issues
Method=> POST || Time => 1779430388756 ||  Url => /api/auth/login
Method=> GET || Time => 1779430405525 ||  Url => /api/issues
Method=> GET || Time => 1779430483277 ||  Url => /api/issues/1
Method=> GET || Time => 1779430498507 ||  Url => /api/issues
Method=> POST || Time => 1779431263228 ||  Url => /api/issues
Method=> POST || Time => 1779431271733 ||  Url => /api/issues
Method=> POST || Time => 1779431283715 ||  Url => /api/issues
Method=> POST || Time => 1779431291035 ||  Url => /api/issues
Method=> GET || Time => 1779431336707 ||  Url => /api/issues
Method=> GET || Time => 1779431372634 ||  Url => /api/issues/1
Method=> GET || Time => 1779431384107 ||  Url => /api/issues
Method=> GET || Time => 1779431542366 ||  Url => /api/issues/1
Method=> GET || Time => 1779433168913 ||  Url => /api/issues
Method=> GET || Time => 1779440103271 ||  Url => /api/issues
Method=> POST || Time => 1779440139154 ||  Url => /api/issues
Method=> GET || Time => 1779440157657 ||  Url => /api/issues/1
Method=> GET || Time => 1779440164579 ||  Url => /api/issues/2
Method=> GET || Time => 1779440167235 ||  Url => /api/issues/1
Method=> GET || Time => 1779440170622 ||  Url => /api/issues/2
Method=> GET || Time => 1779440176461 ||  Url => /api/issues/1
Method=> GET || Time => 1779440196286 ||  Url => /api/issues/2
Method=> PATCH || Time => 1779440358380 ||  Url => /api/issues/1
Method=> GET || Time => 1779440366392 ||  Url => /api/issues/2
Method=> GET || Time => 1779440372225 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779440379377 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779440424330 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779440431093 ||  Url => /api/issues/1
Method=> GET || Time => 1779440466822 ||  Url => /api/issues
Method=> POST || Time => 1779440875795 ||  Url => /api/issues/1
Method=> DELETE || Time => 1779441019633 ||  Url => /api/issues/1
Method=> DELETE || Time => 1779441026168 ||  Url => /api/issues/1
Method=> DELETE || Time => 1779441037325 ||  Url => /api/issues/1
Method=> DELETE || Time => 1779441048374 ||  Url => /api/issues/1
Method=> GET || Time => 1779441061785 ||  Url => /api/issues
Method=> POST || Time => 1779441080187 ||  Url => /api/auth/login
Method=> DELETE || Time => 1779441092478 ||  Url => /api/issues/1
Method=> POST || Time => 1779441116343 ||  Url => /api/issues
Method=> PATCH || Time => 1779441130821 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779441138845 ||  Url => /api/issues/2
Method=> GET || Time => 1779441150104 ||  Url => /api/issues
Method=> DELETE || Time => 1779441171346 ||  Url => /api/issues/2
Method=> PATCH || Time => 1779441184749 ||  Url => /api/issues/2
Method=> PATCH || Time => 1779441193515 ||  Url => /api/issues/2
Method=> POST || Time => 1779441298976 ||  Url => /api/auth/login
Method=> DELETE || Time => 1779441313121 ||  Url => /api/issues/2
Method=> DELETE || Time => 1779441318869 ||  Url => /api/issues/1
Method=> GET || Time => 1779441322892 ||  Url => /api/issues
Method=> POST || Time => 1779441334495 ||  Url => /api/auth/login
Method=> PATCH || Time => 1779441349745 ||  Url => /api/issues/2
Method=> PATCH || Time => 1779441354316 ||  Url => /api/issues/3
Method=> PATCH || Time => 1779441366261 ||  Url => /api/issues/3
Method=> GET || Time => 1779441451671 ||  Url => /api/issues
Method=> POST || Time => 1779441470346 ||  Url => /api/auth/signup
Method=> POST || Time => 1779441498483 ||  Url => /api/auth/signup
Method=> POST || Time => 1779441532211 ||  Url => /api/auth/login
Method=> POST || Time => 1779441659180 ||  Url => /api/issues
Method=> POST || Time => 1779441696016 ||  Url => /api/issues
Method=> GET || Time => 1779441705130 ||  Url => /api/issues
Method=> DELETE || Time => 1779441723421 ||  Url => /api/issues/2
Method=> POST || Time => 1779441735263 ||  Url => /api/auth/login
Method=> POST || Time => 1779441747943 ||  Url => /api/auth/login
Method=> DELETE || Time => 1779441758268 ||  Url => /api/issues/2
Method=> GET || Time => 1779441770245 ||  Url => /api/issues
Method=> PATCH || Time => 1779441842048 ||  Url => /api/issues/1
Method=> POST || Time => 1779441861546 ||  Url => /api/issues
Method=> POST || Time => 1779441872833 ||  Url => /api/auth/login
Method=> PATCH || Time => 1779441890064 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779441897661 ||  Url => /api/issues/2
Method=> GET || Time => 1779441904377 ||  Url => /api/issues
Method=> PATCH || Time => 1779441910121 ||  Url => /api/issues/3
Method=> PATCH || Time => 1779442260290 ||  Url => /api/issues/3
Method=> GET || Time => 1779442304163 ||  Url => /api/issues
Method=> POST || Time => 1779442351361 ||  Url => /api/auth/login
Method=> PATCH || Time => 1779442387930 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779442409313 ||  Url => /api/issues/1
Method=> POST || Time => 1779442420716 ||  Url => /api/auth/login
Method=> PATCH || Time => 1779442444295 ||  Url => /api/issues/1
Method=> PATCH || Time => 1779442472654 ||  Url => /api/issues/1
Method=> GET || Time => 1779443399486 ||  Url => /api/issues
Method=> GET || Time => 1779443408131 ||  Url => /api/issues?sort=oldest
Method=> GET || Time => 1779443451032 ||  Url => /api/issues
Method=> GET || Time => 1779443474210 ||  Url => /api/issues?type=bug
Method=> GET || Time => 1779443489426 ||  Url => /api/issuesstatus=open
Method=> GET || Time => 1779443500467 ||  Url => /api/issues?status=open
Method=> GET || Time => 1779443524066 ||  Url => /api/issues?sort=oldest&type=bug&status=open
Method=> GET || Time => 1779443558886 ||  Url => /api/issues
Method=> GET || Time => 1779443593561 ||  Url => /api/issues/1
